,195,,,,,,,,Indicador 1,,,,Indicador 2,,,,,Indicador 1,,,,Indicador 2,,,,,Indicador 1,,,,Indicador 2,,,,,Indicador 1,,,,,Indicador 1,,,,,Indicador 1,,,,,Indicador 1,,,,HITO 1,,,HITO 2,,,HITO 3,,,HITO 4,,,HITO 5,,,HITO 6,,,HITO 7,,,HITO 8,,,HITO 9,,,Medio Verificación 1,,,,,,Medio_verificacion_2,,,,,Medio Verificación 3,,,,,Medio_verificacion_4,,,,,Medio_verificacion_5,,,,,Medio Verificación 6,,,,,,,Medio Verificación 7,,,,,,
DI,DI-6,ITT,Desarrollo de proyectos de innovación a través del FabLab,"Generar prototipos profesionales en el FabLab, incrementando su operatividad, recursos estratégicos e infraestructura de manera que se disponga de un laboratorio de fabricación Digital que permite incubar proyectos interdisciplinarios y de innovación, tenga una imagen y presencia reconocible, y que la comunidad sea atendida en las instalaciones. ",Desarrollo," $26,918,000 ",,Incrementar la capacidad operativa del Fablab ,Contrato de personal de apoyo para el FabLab,Número de informes de productos mensual,10,Informes mensuales aprobados por jefatura directa,Procesos del FabLab a través de un plan de trabajo con el FabLab de la UChile a través de la tutoría,Número de procesos FabLab desarrollados ,2,decreto de procesos tramitados,Mantener y aumentar la infraestructura del FabLab,Gestiones para adquisición de insumos infraestructura FabLab,Número de solicitudes enviadas desde DI,3,Correos SAP de solicitudes formales enviadas a la unidad correspondiente,,,,,Difundir el aspecto comunicativo del FabLab,Elaboración de diferentes materiales de comunicación (logo e imagen FabLab),Número de elementos diseñados,2,Correos SAP desde jefatura ITT aprobando logos.,Difusión de la actividad del FabLab,Número de publicación en medios regional y/o nacionales,3,Publicaciones en diarios o radios locales,,,,,,,,,,,,,,,,,,,,,Contratación  soporte operativo del fablab y sus recursos humanos,contrato firmado por ambas partes para profesional de apoyo FabLab,mar-22,ingreso solicitud formal de tutorías,documento generado en consenso con actores de Uchile para solicitud de tutoría,may-22,solicitud (correo SAP) de  mobiliario o servicio de habilitacion espacio nuevo,publicación de mecanismo de adquisición de servicio de habilitación o compra de mobiliario para nuevo espacio FabLab,mar-22,adquisición equipamiento ,publicación de mecanismo de adquisición de equipamiento para FabLab,mar-22,renovación licencias de software ,renovación de software  (sketchup e Illustrator) para FabLab,oct-22,decreto del  fablab segun politicas de centros,decreto que formaliza el FabLab desde la política de centros,may-22,,,,,,,,,,Documento de fortalecimiento operativo del fablab y sus recursos humanos,"profesional cumple con productos comprometidos, informe aprobado por jefatura directa","tutoría facilita el desarrollo de procesos del fablab, al menos 2 procesos decretados.",,,,Documento de fortalecimiento infraestructura del FabLab,se publica el mecanismo de compra del mobiliario o habilitación en el plazo declarado dentro del POA,recepción conforme de mobiliario u obras asociadas a la habilitación del nuevo espacio,se publica el mecanismo de compra de maquinaria  en el plazo declarado dentro del POA,recepción conforme de equipos asociados a habilitación del nuevo espacio,Documento de fortalecimiento del ámbito comunicativo del FabLab,aparición en diarios locales o nacionales de actividad del FabLab,Aparición en radios de la actividad del FabLab,mail de aprobación de imagen corporativa,,,,,,,,,,,,,,,,,,,,,,,,,
DI,DI-7,ITT,Contribución al desarrollo regional a través de impulsar al Observatorio Laboral,Realizar un trabajo conjunto y coordinado tendiente al desarrollo de un Plan Anual de Trabajo que considere la ejecución de iniciativas y actividades orientadas a entregar información relativa a brechas de capital humano y oportunidades de empleo.,Desarrollo," $200,000 ",,"Aplicar y supervisar ENADEL 2022 en formato telefonico, videollamada y/o presencial a informantes idóneos, siguiendo estándares, protocolos",Encuestas,Según muestra a definir,1,Encuestas realizadas,,,,,Aplicar encuesta de demanda laboral: proyectos de inversión (enadelpi),"Análisis de proyectos de inversión en la región por tipo de proyecto (energía, minería, obras públicas, etc.), monto de la inversión, empleo estimado, estado de avance y provincia, entre otras.",Número de análisis realizados,5,Reportes de los análisis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Encuesta Enadel realizada,Encuestas realizadas de acuerdo a los plazos y muestras que defina SENCE,sep-22,,,,,,,,,,,,,,,,,,,,,,,,,Número de encuestas realizadas,Encuestas registradas ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DI,DI-8,DINV,Gestión de fondos y recursos internos para el desarrollo de la investigación. ,Propiciar las condiciones para un acceso y distribución eficiente de los recursos internos de la Institución destinados a incentivar y potenciar el desarrollo científico.,Misional," $100,000,000 ",,Lanzar la convocatoria anual de financiamiento Interno,"Fondos internos de iniciación, puente U Chile, bilaterales, apoyo a convocatorias internacionales, movilidad, organización de congresos, vinculación de estudiantes y proyectos estratégicos de la DI ",Número de iniciativas financiadas,30,Decretos de adjudicación, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diseñadas y publicadas las bases de la convocatoria,Documento que contiene las bases de la convocatoria anual de financiación de instrumentos para la investigación,mar-22, , ,,,,,,,,,,,,,,,,,,,,,,,Decreto que contiene las bases de la convocatoria anual de financiación de instrumentos para la investigación,Tener una verificación de que las bases han sido publicadas y tienen una amplia difusión,,,,,Decreto que adjudica los fondos de investigación internos de la convocatoria anual,"Constatar la adjudicación de los fondos, para las correspondientes ejecuciones y responsabilidades",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DI,DI-9,DDC,"Mejorar las capacidades de gestión y de operación de la dirección de investigación en torno a la productividad y divulgación científica, integrando sistemas de información y gestión","Optimizar el acceso periódico a los datos e indicadores sobre investigación para diseño de acciones y estrategias de la dirección de investigación para generar estrategias que apoyen la productividad y divulgación, junto con asegurar la infraestructura digital necesaria para el desarrollo de las actividades de la dirección de investigación.",Misional," $18,100,000 ",,Sistematizar y mejorar el acceso periódico a los datos e indicadores sobre productividad científica en coherencia a las actividades académicas mediante el uso de plataformas informáticas.,Bases de datos para facilitar el acceso a datos e indicadores sobre actividades de investigación,Número de bases de datos automatizadas para la gestión de información de la investigación en la herramienta isotope ,23,Reporte de bases de datos desde la plataforma isotope,Reportes semestrales de productividad científica extraídos de la plataforma conforme a las bases de datos operativizadas ,Número de reportes extraídos de la plataforma,2,Planilla .csv o pdf que entregue reporte de productividad científica ,Mantener actualizada la base de datos correspondiente a nuevos investigadores e investigadoras mediante la creación de sus perfiles en la plataforma isotope,Porcentaje de investigadores contratados por la universidad de aysén que cuentan con un perfil en la plataforma isotope,(Número de nuevos investigadores / Número de investigadores ya integrados en la plataforma )* 100 ,90%,"HR FEED descargado de la plataforma isotope, que confirma los perfiles existentes en la plataforma con fecha de corte semestral",,,,,Evaluar las fortalezas y oportunidades de desarrollo en materia de implementación de la plataforma isotope,Evaluación de la plataforma isotope,(Número total de respuestas de encuesta de la plataforma / número de académicos registrados en la plataforma) * 100%,50%,Planilla de sistematización de evaluación,,,,,Dar continuidad al uso de la plataforma mediante el cumplimiento del contrato firmado el 2021 que abarca el año 2022,Pago de la plataforma a digital science,Número de pagos cursados de forma internacional a digital science,1,Decreto que aprueba la transferencia de recursos a digital science,,,,,,,,,,,,,,,,Jornadas de inducción al equipo de implementación de isotope,4 jornadas de enseñanza realizadas por la empresa Digital Science que dan a conocer el menú principal y funcionalidades asociadas a las características de la plataforma,ene-22,"Presentación de la plataforma por parte del equipo de implementación al cuerpo académico, habiendo tenido las jornadas de capacitación y sus funcionalidades operativas","Comunicación formal al cuerpo académico de la plataforma, donde se entregarán las credenciales para el acceso a la plataforma y la inducción general necesaria para el usuario básico (no en rol de administrador). ",mar-22,Lanzamiento de plataforma isotope,"Hito de lanzamiento de la plataforma a la Comunidad Universitaria con cuerpo académico y equipo de implementación, dando a conocer el buscador de investigadores, equipamiento y disciplinas que forma parte de la plataforma.",mar-22,Evaluación de la plataforma isotope con académicos,envío de encuesta de apreciación de la plataforma para conocer la percepción de sus usuarios,ago-22,,,,,,,,,,,,,,,,Grabaciones de las jornadas de inducción al equipo de implementación de isotope,Establece el respaldo de las acciones realizadas mediante registro que puede ser consultado posteriormente a la inducción. ,,,,,Reportes sobre research outputs de los y las investigadoras de la universidad de aysén desde la plataforma isotope,Mejora el acceso a los indicadores e información sobre el desarrollo del quehacer investigativo y el desempeño de la Universidad de Aysén en el área,,,,Renovación y pago del uso de la licencia para el año 2022 - 2023,"Asegura la infraestructura necesaria para el seguimiento de los indicadores y reportabilidad para el periodo siguiente, cumpliendo el contrato establecido con Digital Science. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
DPAC,DPAC-10,PCI,Coordinación y monitoreo de la Tutoría UCH,"Coordinar y gestionar las iniciativas de Tutoría UCH de acuerdo a las directrices priorizadas institucionalmente, que permitan fortalecer el proceso de instalación de la UAysén, particularmente en sus procesos misionales.",Misional, $- ,,Realizar soporte operativo a los equipos institucionales para coordinar iniciativas de Tutoría UCH,Reuniones de coordinación y apoyo para coordinar iniciativas de Tutoría UCH,Número de reuniones de coordinación y apoyo a equipos institucionales ,3,Sistematización de reuniones realizadas con equipos institucionales para coordinar iniciativas de Tutoría UCH.,,,,,Coordinar y gestionar solicitudes de iniciativas de Tutoría a Vicerrectoría de Asuntos Académicos de la UCH,Oficios con solicitudes de Tutoría UCH.,Sumatoria de oficios de solicitudes de Tutoría UCH.,40,Sistematización de solicitudes de Tutoría UCH.,,,,,Realizar monitoreo de las iniciativas de Tutoría UCH en ejecución ,Monitorear estado de avance de las iniciativas de Tutoría UCH.,Número de informes de avance de iniciativas de Tutoría  UCH.,40,Sistematización del monitoreo de avance de las iniciativas de Tutoría UCH.,,,,,,,,,,,,,,,,,,,,,,,,,Elaborado y difundido informe de gestión Tutoría UCH 2021,Debe ser socializado al equipo directivo,abr-22,Elaborado y difundido informe de avance 1er. semestre 2022,Debe ser socializado al equipo directivo,jul-22,Elaborado y difundido informe de avance 2do. semestre 2022,Debe ser socializado al equipo directivo,dic-22,,,,,,,,,,,,,,,,,,,Sistematización de solicitudes de Tutoría UCH.,Debe considerar las solicitudes de tutoría aprobadas por la contraparte de la UCH.,,,,,Sistematización del monitoreo de avance de las iniciativas de Tutoría UCH.,Debe considerar mecanismo de seguimiento definido por la UAY y UCH.,,,,Resultados de contribución e instalación de capacidades resultantes de gestiones con Tutoría UCH,Debe dar cuenta de los resultados cuantitativos y cualitativos sobre la aplicación de iniciativas de Tutoría UCH en el marco del proceso de instalación de la Universidad,"Debe entregar una clasificación y diagnóstico de instalación de capacidades desarrolladas, además de redes de colaboración establecidas.",Debe explicitar validación mutua de ambas entidades,,,,,,,,,,,,,,,,,,,,,,,,,
DPAC,DPAC-11,PCI,Implementación Modelo del SIstema de Planificacion y Coordinacion Institucional.,"Generar y operacionalizar los procesos críticos y levantar herramientas tecnológicas en el marco de procesos SPCI, apuntando a una mayor eficiencia en el diseño e implementación de las estrategias institucionales definidas.",Desarrollo, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Generado mapeo de procesos del SPCI,Debe realizarse en coordinación con UAC y UTGI,abr-22,Levantado y normalizados procesos críticos del SPCI,Debe realizarse en coordinación con UAC,ago-22,Levantados requerimientos de sistemas tecnológicos para procesos críticos del SPCI,Debe realizarse en coordinación con la UTGI,sep-22,Implementados prototipos para modernizar procesos críticos del SPCI,Debe realizarse de acuerdo al diseño de procesos y sistemas.,dic-22,Levantado requerimientos de procesos de la gestión financiera de los proyectos institucionales,Debe realizarse en coordinación con DAF y UTGI,jul-22,,,,,,,,,,,,,Documentación sobre procesos SPCI levantados y/o mejorados.,Debe considerar los mecanismos de normalización de procesos definidos por la institución (Gestión por proceso).,,,,,Artefactos tecnológicos para automatizar y modernizar procesos SPCI,Documentación técnica y/o funcional en torno a resultados de mecanismos implementados,"Se debe explicitar las situaciones con o sin sistemas que justifican el impacto de los resultados, articulados con su contribución al desarrollo de la estrategia institucional y los procesos misionales.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPAC,DPAC-12,PCI,Fortalecimiento de capacidades en la planificación y coordinación institucional,Fortalecer competencias del equipo UPCI para mejorar sus procesos y servicios en contribución al desarrollo de la estrategia institucional y el cumplimiento de propósitos institucionales,Desarrollo," $1,100,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Difundido el rol, alcance y mecanismos de coordinación institucional de la UPCI",Debe considerar difusión a nivel de áreas estratégicas de la Universidad. ,jul-22,Desarrollada iniciativa de Tutoría UCH en asesoría en Planificación Estratégica y Control de Gestión ,Debe considerar la implementación de mejoras en mecanismos de planificación y control de gestión.,oct-22,Realizada transferencia de experiencias Universidades Estatales en materia de gestión de proyectos institucionales.  ,Debe considerar la implementación de mejoras en mecanismos de planificación y control de gestión.,jul-22,Realizado perfeccionamiento en materia de planificación estratégica y control de gestión universitaria ,Debe considerar la implementación de mejoras en mecanismos de planificación y control de gestión.,nov-22,,,,,,,,,,,,,,,,Sistematización de las iniciativas de fortalecimiento de capacidades realizadas por la UPCI.,Debe considerar plan de implementación / transferencia de lo aprendido en instancias de fortalecimiento.,,,,,Estrategia de descentralización / generación de enlaces desde competencias fortalecidas,"Debe complementar los resultados obtenidos en la capacitación de equipo UPCI, estableciendo estrategias a través de las cuales las competencias adquiridas serán llevadas a instancias institucionales que sirven de enlaces con otras áreas",Debe proyectar modelo de gestión a través del cual se puedan desarrollar procesos de planificación y control de gestión de forma sistemática con otras áreas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPAC,DPAC-13,AC,Continuación proceso de autoevaluación institucional 2021-2022 y Proceso de acreditación institucional,"Gestionar el proceso de autoevaluación y acreditación institucional 2021-2022, para mejorar la autorregulación y mejoramiento continuo de la calidad institucional",Desarrollo," $113,668,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Realizada la consulta a informantes clave,Debe realizarse en conjunto con UAI,abr-22,Redactado y Validado por Rectoría el Informe de Autoevaluación Institucional 2021,Informe Final Incluido Plan de Mejora debe ser validado por Rectoría,ago-22,Socializados los Resultados de Autoevaluación,Debe asegurar cobertura de los 3 estamentos,oct-22,Implementada la estrategia de coordinación para la visita CNA por Equipo Directivo,Debe considerar validación de equipo directivo y contrapartes técnicas,nov-22,Realizada la visita de pares evaluadores de la CNA.,Debe asegurar condiciones mínimas de higiene y seguridad si es presencial,dic-22,Desarrolladas las instancias de capacitación y/o visitas técnicas a instituciones de educación superior nacional o internacional para la Unidad de Aseguramiento de la Calidad,"Debe considerar aspectos normativos de acreditación institucional, programas de pre y postgrados, y/o de Sistemas de gestión de Calidad",dic-22,,,,,,,,,,Informe de autoevaluación institucional.,Comprende el análisis y resultados del proceso de autoevaluación institucional y acciones de mejora,Debe Contener Anexo Ficha de Datos Institucional,Incorpora evaluación de aprendizaje y resultados sobre la autoevaluación y mecanismos institucionalizados,,,Programa de Visita de Pares Evaluadores,Debe indicar público objetivo de visitas por área de acreditación,"Puede acompañarse de material, actividades y evidencias de difusión del Programa con todxs los involucrados.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPAC,DPAC-14,AC,Continuidad de la implementación de ajustes al diseño del Sistema de Gestión Integral de la Calidad (SGIC) ,"Revisar aspectos de la política de Gestión Integral de la Calidad, levantando mejoras y profundización que permitan avanzar en el diseño detallado del sistema y su proyección en el tiempo.",Misional," $1,500,000 ",,"Participación en redes de calidad regional, nacional e internacional",Número de Redes Activas de Calidad,Número de redes en las que la UACAI participa en el periodo t,3,Minutas y/o presentaciones en redes de calidad,,,,,Retroalimentación de los MAC`S  que se desarrollen en la Universidad.,Pautas de retroalimentación de MAC`S,Número de Pautas de retroalimentación de MAC realizadas,5,Pauta de retroalimentación por cada MAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Definidos y validados los criterios y estándares de calidad internos alineados a los ejes transversales de acción institucionales,Debe considerar elementos de los nuevos criterios y estándares de acreditación institucional,jul-22,Ajustados y actualizados los instrumentos de levantamiento de información de servicios internos.,Debe considerar validación de contrapartes tácticas,may-22,Reporte de resultados de Encuesta de Evaluación Servicios Internos UAysén.,Debe Considerar visualización en Tableau,ago-22,Planificar ajustes para actualizar la política de gestión integral de la calidad de la universidad de Aysén.,Debe considerar elementos de la norma ISO 21001:2018 y del proceso de acreditación institucional 2022,oct-22,Desarrollado Curso y/o Cápsulas orientado a la instalación de una cultura institucional de calidad en base al SGIC-U AYSÉN a través de la mejora continua,Debe considerar gestión del cambio y a participantes de todos los estamentos,nov-22,,,,,,,,,,,,,Ajustes Sistema de Gestión Integral de la Calidad (informe),Debe contener validación de equipo Directivo ,,,,,Dashboards de visualización de resultados de la evaluación de los servicios Internos de la UAysén,Debe considerar lineamientos de UAI,Debe Considerar 1 reporte semestral,Debe considerar vistas por servicio evaluado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPAC,DPAC-15,AC,Implementación de Metodología Ágil de Gestión por Procesos Uaysén,"Documentar, estandarizar y monitorear los procesos como soporte al SGIC y generar insumos para una gestión institucionalinformática eficiente y pertinente.",Misional, $- ,,Documentar procesos asociados a Direcciones Estratégicas y Departamento Académicos,Número de Procesos Documentados  bajo metodología institucional,Sumatoria de procesos documentados de las Direcciones y Departamentos en el año t,20,Documento Caracterización de Proceso ( según estándar NCh ISO 21001:2018),,,,,Monitoreo de procesos y reportabilidad de indicadores,Procesos Monitoreados,Sumatoria de procesos codificados con monitoreo en el periodo t,5,Pauta de Seguimiento del proceso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Efectuada una priorización de procesos a documentar año 2022,Debe considerar prioridades de Direcciones y Departamentos,abr-22,Definidas las acciones de difusión de la Metodología e instrumentos (primer semestre).,Debe considerar cobertura de todos actores tácticos,jun-22,Definida y Validada la Metodología de Auditoría de procesos,Debe considerar la metodología de gestión por procesos,jun-22,Definidas las acciones de evaluación y ajuste de la metodología (segundo semestre).,Debe considerar cobertura de todos actores tácticos,dic-22,,,,,,,,,,,,,,,,Material de registro y difusión de metodología institucional de Gestión por Procesos,Considera evidencia de ejecución de actividades de difusión.,Debe incorporar Registro de Asistencia y/o cobertura por ámbitos estratégicos ( Direcciones y Departamentos),,,,Informe de  monitoreo de procesos y sus resultados,"Considerar Documento simple con especificación o resumen de ejecución del monitoreo, especificando alcances, instancias y principales áreas involucradas",Debe considerar la aplicación y resultados de la metodología institucional.,Debe considerar estadística asociada a los procesos monitoreados.,,Informe de resultados de procesos documentados en el año 2022.,"Considerar Documento simple con especificación o resumen de ejecución de la documentación de procesos, especificando alcances, instancias y principales áreas involucradas",Debe considerar la aplicación y resultados de la metodología institucional.,Debe considerar estadística asociada a los procesos documentados.,,Metodología de Auditoría de Procesos,"Documento complementario de la metodología ágil de gestión de procesos Uaysén, que aborda la etapa de Auditoría",Debe considerar la formalización del documento.,"Considera  aspectos teóricos y conceptuales, desarrollo de formatos y estructuras de implementación y evaluación para ajustes metodológicos",,,,,,,,,,,,,,,,,,,,
DPAC,DPAC-16,AI,Gestión de requerimientos de información de entidades externas,"Resolver requerimientos de diferentes actores externos con datos e información institucional, para dar respaldo a compromisos institucionales",Misional, $- ,,Participar activamente en las instancias de trabajo y reuniones ampliadas desarrolladas por la RED,Número de instancias en la que Análisis institucional participa en la REDUAI ,"Número de instancias (reuniones ampliadas, reuniones de comisión, productos ejecutados) en las que los profesionales de Análisis Institucional participan en la REDUAI en el periodo i",20,"Minutas y/o actas de trabajo en comisión y reuniones ampliadas, productos asociados en el periodo i",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entregados los datos de la Encuesta anual de Educación Superior al Instituto Nacional de Estadísticas,Considera información asociada a oferta académica de algunas programas por área de conocimiento,abr-22,"Entregados los datos del primer proceso ÍNDICES (Matrícula, Puntajes, Titulados y Egresados)","Considera información asociada a Matrícula, Puntajes, Titulados y Egresados",jun-22,"Entregados los datos de la Encuesta Anual de gasto del personal de Investigación y Desarrollo I+D, en Educación Superior al Instituto Nacional de Estadísticas","Considera información asociada a Investigación, tomando como referencia la inversión  y el gasto asociado a I+D",ago-2022,Entregados los datos asociados a los procesos SIES para año 2022 - 1er semestre,"Considera los procesos de Egresados y TItulados, Matrícula Unificada, Personal Académico, Avance Curricular y Matrícula Extranjeros",ago-22,Entregados los datos del segundo proceso INDICES,"Considera información asociada al seguimiento de la Cohorte Institucional, Docentes, Origen Estudiantes, Investigación, Infraestructura, Biblioteca",sep-22,Entregados los datos del tercer proceso INDICES,"Considera la información asociada a Oferta Académica, Matrícula Postgrado ",dic-22,Entregados los datos asociados a los procesos SIES para año 2022 - 2do semestre,Considera los procesos de Infraestructura y recursos educacionales y las tres etapas de oferta académica,dic-22,,,,,,,información enviada a entidad externa,Documento de carga o archivo enviado de conformidad,La Información solicitada debe mantener la estructura requerida,,,,Validador de Entrega,Respaldo que de cuenta de entrega exitosa de la respuesta a requerimiento de entidades externas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPAC,DPAC-17,AI,Gestión de requerimientos de información y estudios internos,"Resolver requerimientos de diferentes actores internos con datos e información institucional,  para favorecer la toma de decisiones con información confiable y fidedigna",Misional," $1,400,000 ",,Resolver requerimientos emergentes con datos institucionales gobernados por UAI,Número de requerimientos emergentes respondidos,Número de requerimientos emergentes respondidos  en el año i,20,Validador de entrega y/o respuesta a requerimiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Priorizadas las solicitudes de estudios para el año 2022,Considera la definición de estudios de acuerdo a la priorización estratégica a nivel institucional,abr-22,Publicado el calendario de estudios para el año 2022,,abr-22,Entregados los datos del Reporte y Seguimiento de la Sustentabilidad de las Instituciones de Educación Superior – RESIES de la Red de Campus Sustentable,Considera coordinación con UPCI para la puesta en marcha de la solicitud,oct-22,Entregados los datos de estudiantes con Asignación Inicial y/o Renovación de G4 becas y/o FSCU,Considera la estructura solicitada por Desarrollo Estudiantil,nov-22,Entregados los datos asociados a Indicadores Académicos para los distintos proyectos en ejecución en la Universidad.,De acuerdo a la estructura indica a la solicitud,dic-22,,,,,,,,,,,,,información enviada a entidad interna,Reporte Tableau (si es que corresponde),Tablero de visualización que considera medidas y dimensiones del requerimiento ,Pertinencia del desarrollo de visualización estará determinado por los lineamientos de UAI,,,Validador de Entrega,Respaldo que de cuenta de entrega exitosa de la respuesta a requerimiento de entidades internas,,,,Calendario de Ejecución de Estudios,"Considera la ficha metodológica, operacionalización, plan de análisis y entrega de resultados","Documento Simple descriptivo sobre el proceso anual, desarrollando el proceso y evaluación del periodo",,,,,,,,,,,,,,,,,,,,,,,,,,
DPAC,DPAC-19,AI,Gestión de Indicadores y Progresión Académica de Estudiantes,"Recolectar, procesar y entregar información referida a Indicadores de origen y progresión académica de Estudiantes que favorezca la mejora continua en Pregrado",Desarrollo," $200,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entregado resultados de encuesta de caracterización de estudiantes de 1er. año,Considera entrega a actores que lo soliciten a partir de Infografía o Informe,may-22,Entregado Informe de matrícula 2022,Considera entrega a actores que lo soliciten a partir de Infografía o Informe,may-22,Entregado Informe de Sistema de Alerta Temprana,,may-22,Entregado resultados de encuesta de caracterización de estudiantes de cursos superiores,Considera entrega a actores que lo soliciten a partir de Infografía o Informe,jun-22,Entregado Informe Asignaturas Críticas 1er semestre 2022,Considera entrega a actores que lo soliciten a partir de Infografía o Informe,ago-22,Entregado Informe de titulación 2021,Considera entrega a actores que lo soliciten a partir de Infografía o Informe,sep-22,Entregado Informe Piloto de Empleabilidad y Progresión Laboral,Considera entrega a actores que lo soliciten a partir de Infografía o Informe,dic-2022,,,,,,,Reporte de visualización,Debe considerar dimensiones y medidas asociadas al requerimiento,Puede estar acompañado de manuales y diccionario de datos,Debe establecer detalle y descripciones de gráfica y tablas (cuando corresponda),,,Validador de Entrega,Respaldo que de cuenta de entrega exitosa de los indicadores asociados al origen y progresión académica de estudiantes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPAC,DPAC-20,TGI,Servicios de soporte técnico computacionales con orientación a la calidad y seguridad de la información,"Brindar el soporte computacional técnico necesario a la institución de forma de garantizar el normal ejercicio de las funciones tanto del estamento administrativo, como de las actividades de docencia.",Misional," $149,813,000 ",,Brindar soporte tecnológico a la institución (reactivo y preventivo),Actividades de soporte realizadas para el personal de colaboración.,Número de servicios de soporte computacional al personal de colaboración ejecutados y completados.,200,Reporte de servicios de soporte administrativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diseño e implementación inicial del procesos de soporte computacional.,"Busca  la normalización del proceso de atención de soporte de acuerdo a los estándares establecidos por la Unidad de Aseguramiento de la Calidad, de forma de mejorar su gestión.",mar-22,Catálogo de servicios TI,"Guía que orienta al área de soporte sobre los servicios TI vigentes en la UTGI. Los describe, delimita, define su duración y el proceso de ejecución de cada uno de ellos. Este catálogo, en su versión inicial, debe considerar aquellos tipos de solicitudes principales de acuerdo a las bitácoras de atención del 2021.",jun-22,Evaluación de software opensource STMI que incluya la gestión de activos (ej: glpi),"Evaluar y seleccionar una plataforma que permita centralizar la información del área de atención de soporte,: servicios TI, soporte, activos TI, etc.",oct-22,Plan de mantención anual,"Debe establecer un plan de mantención del equipamiento computacional estableciendo el alcance, plazos y responsable de su realización. Este plan servirá de base para los próximos años.",abr-22,,,,,,,,,,,,,,,,Proceso de soporte computacional documentado,Deben incorporar criterios de priorización en la atención de necesidades de los usuarios.,Deben explicitar criterios de calidad en la atención a los usuarios.,Debe explicitar el uso de la herramienta de gestión de ticket,Debe considerar los estándares y lineamiento de caracterización de procesos de la Unidad de Aseguramiento de la Calidad,,Catálogo de servicios,índice ordenado de los principales servicios TI y su documentación,"Debe consolidar los MAC asociados a cada servicio (procedimiento, manual, etc)",Debe considerar los principales tipos de atención de soporte tomando de referencia las atenciones del año 2021,,Anteproyecto Software STMI,Especificación requerimientos del área de soporte,incluya recomendación de soluciones opensource,Criterios de selección de la herramienta,"Propuesta de implementación (solución, plazos y recursos)",Sistematización del soporte computacional entregado en el periodo,"Debe registrar atenciones de soporte computacional a los distintos estamentos durante el periodo, diferenciado lo administrativo de la academia","Para cada atención registrada, debe indicar las características del servicio brindado y el tipo de atención según clasificación UTGI",Para cada atención realizada debe quedar registro de conformidad o de respuesta entregada a través del sistema de gestión de ticket habilitado,,,,,,,,,,,,,,,,,,,,
